BankType,TAN1,TAN2,TAN3,TAN4,REL1,REL2,REL3,REL4,RESP1,RESP2,RESP3,RESP4,ASSUR1,ASSUR2,ASSUR3,ASSUR4,EMP1,EMP2,EMP3,SAT1,SAT2,SAT3,NPS,AvSAT,AvTAN,AvREL,Av RESP,AvASSUR,AvEMP
0.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,4.00,2.00,1.00,1.00,2.00,4.00,4.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,3.00,2.25,3.50,1.50,3.50,2.00
0.00,3.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,3.00,8.00,2.67,3.50,4.00,4.00,4.00,3.00
0.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,2.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,7.00,4.00,4.25,3.75,2.75,3.75,3.67
0.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,8.00,4.00,3.75,4.00,4.00,4.00,4.00
0.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,5.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,8.00,4.00,3.75,3.75,3.75,4.00,3.67
0.00,5.00,4.00,4.00,3.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,8.00,4.00,4.00,4.00,4.00,5.00,4.00
0.00,4.00,5.00,4.00,2.00,4.00,4.00,2.00,4.00,4.00,4.00,3.00,2.00,4.00,3.00,4.00,5.00,4.00,4.00,2.00,4.00,4.00,4.00,6.00,4.00,3.75,3.50,3.25,4.00,3.33
0.00,3.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,8.00,4.00,4.25,4.00,3.75,4.00,3.67
0.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,3.00,8.00,3.67,4.75,4.25,4.00,4.00,4.00
0.00,4.00,4.00,4.00,1.00,3.00,4.00,4.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,2.00,5.00,5.00,4.00,4.00,10.00,4.33,3.25,4.00,4.25,5.00,4.00
